t,setpoint,depth,depth_rate,u,status
0.0,0.8,0.6119,-0.1157,0.0,STALE
0.093,0.8,0.6119,-0.1157,0.0,STALE
0.203,0.8,0.5753,-0.0313,0.3,OK
0.312,0.8,0.5332,-0.2131,0.3,OK
0.406,0.8,0.521,-0.171,0.3,OK
0.5,0.8,0.4835,-0.2823,0.3,OK
0.609,0.8,0.4885,-0.1074,0.3,OK
0.718,0.8,0.5104,0.0526,0.3,OK
0.828,0.8,0.5127,0.0362,0.3,OK
0.922,0.8,0.573,0.3147,-0.0832,OK
1.015,0.8,0.5983,0.2953,-0.0422,OK
1.125,0.8,0.6362,0.3216,-0.1911,OK
1.234,0.8,0.6771,0.3494,-0.3,OK
1.343,0.8,0.6771,0.3494,-0.3,OK
1.453,0.8,0.7222,0.2307,-0.2691,OK
1.562,0.8,0.7034,0.0372,0.1274,OK
1.672,0.8,0.6671,-0.1559,0.3,OK
1.781,0.8,0.6687,-0.0661,0.3,OK
1.89,0.8,0.6585,-0.0806,0.3,OK
2.0,0.8,0.6746,0.0385,0.2033,OK
2.093,0.8,0.6812,0.0534,0.211,OK
2.187,0.8,0.7111,0.1778,-0.0922,OK
2.281,0.8,0.7223,0.1501,-0.0085,OK
2.39,0.8,0.7633,0.2701,-0.3,OK
2.5,0.8,0.8057,0.3307,-0.3,OK
2.609,0.8,0.778,0.027,0.0791,OK
2.718,0.8,0.787,0.0557,-0.0963,OK
2.828,0.8,0.8024,0.0999,-0.1879,OK
2.922,0.8,0.8005,0.0448,-0.0646,OK
3.015,0.8,0.813,0.0863,-0.2286,OK
3.125,0.8,0.7792,-0.1247,0.2982,OK
3.234,0.8,0.7585,-0.1584,0.3,OK
3.343,0.8,0.7477,-0.1276,0.3,OK
3.453,0.8,0.7326,-0.133,0.3,OK
3.562,0.8,0.7407,-0.0251,0.2118,OK
3.672,0.8,0.76,0.0804,-0.0001,OK
3.781,0.8,0.7922,0.1925,-0.2533,OK
3.89,0.8,0.8124,0.1887,-0.2785,OK
3.984,0.8,0.8187,0.1323,-0.2184,OK
4.093,0.8,0.8187,0.1323,-0.2818,OK
4.203,0.8,0.8579,0.1716,-0.3,OK
4.312,0.8,0.8112,-0.1167,0.1983,OK
4.422,0.8,0.8112,-0.1167,0.1143,OK
4.531,0.8,0.7346,-0.3316,0.3,OK
4.64,0.8,0.7118,-0.272,0.3,OK
4.75,0.8,0.7267,-0.0599,0.2289,OK
4.859,0.8,0.7254,-0.0347,0.2368,OK
4.968,0.8,0.7152,-0.0653,0.3,OK
5.062,0.8,0.7508,0.1397,-0.1449,OK
5.156,0.8,0.7771,0.2056,-0.2643,OK
5.25,0.8,0.7868,0.1571,-0.2005,OK
5.359,0.8,0.8185,0.2281,-0.3,OK
5.468,0.8,0.7846,-0.0531,0.1774,OK
5.578,0.8,0.8023,0.059,-0.1915,OK
5.687,0.8,0.7976,0.0059,0.0065,OK
5.797,0.8,0.8014,0.0211,-0.0862,OK
5.906,0.8,0.7673,-0.153,0.3,OK
6.015,0.8,0.7302,-0.2504,0.3,OK
6.125,0.8,0.7356,-0.0933,0.2909,OK
6.234,0.8,0.7445,-0.0024,0.1292,OK
6.328,0.8,0.7656,0.1024,-0.0874,OK
6.422,0.8,0.7656,0.1024,-0.0555,OK
6.515,0.8,0.7754,0.0641,-0.0115,OK
