t,setpoint,depth,depth_rate,u,status
0.0,0.5,0.2473,-0.1326,0.3,OK
0.109,0.5,0.27,0.0314,0.2463,OK
0.218,0.5,0.27,0.0314,0.3,OK
0.328,0.5,0.2413,-0.1063,0.3,OK
0.422,0.5,0.2509,-0.0183,0.3,OK
0.531,0.5,0.2351,-0.0855,0.3,OK
0.64,0.5,0.2647,0.1026,0.3,OK
0.734,0.5,0.3065,0.2609,-0.0336,OK
0.828,0.5,0.3216,0.2139,0.0874,OK
0.937,0.5,0.3852,0.4103,-0.3,OK
1.047,0.5,0.4048,0.288,-0.2211,OK
1.156,0.5,0.4301,0.259,-0.282,OK
1.265,0.5,0.4548,0.2422,-0.3,OK
1.375,0.5,0.4548,0.2422,-0.3,OK
1.468,0.5,0.477,0.1367,-0.2307,OK
1.578,0.5,0.4428,-0.0818,0.2506,OK
1.687,0.5,0.3887,-0.2975,0.3,OK
1.781,0.5,0.3786,-0.2087,0.3,OK
1.875,0.5,0.3603,-0.2025,0.3,OK
1.968,0.5,0.3686,-0.0657,0.3,OK
2.062,0.5,0.3697,-0.0294,0.3,OK
2.172,0.5,0.3952,0.1106,0.0386,OK
2.281,0.5,0.4051,0.1001,0.1039,OK
2.39,0.5,0.4459,0.2429,-0.2746,OK
2.5,0.5,0.4459,0.2429,-0.2507,OK
2.593,0.5,0.495,0.2421,-0.3,OK
2.687,0.5,0.4586,-0.025,0.2326,OK
2.781,0.5,0.4636,0.0116,0.0263,OK
2.89,0.5,0.4782,0.0771,-0.0819,OK
3.0,0.5,0.4795,0.0429,0.0019,OK
3.109,0.5,0.4994,0.1154,-0.2168,OK
3.218,0.5,0.4994,0.1154,-0.199,OK
3.312,0.5,0.4698,-0.0921,0.2931,OK
3.406,0.5,0.4558,-0.1161,0.2872,OK
3.5,0.5,0.445,-0.1158,0.3,OK
3.609,0.5,0.4248,-0.1527,0.3,OK
3.718,0.5,0.4288,-0.054,0.3,OK
3.828,0.5,0.445,0.0517,0.1001,OK
3.937,0.5,0.4748,0.1672,-0.1461,OK
4.031,0.5,0.4991,0.209,-0.2673,OK
4.125,0.5,0.5139,0.1849,-0.2756,OK
4.218,0.5,0.5139,0.1849,-0.3,OK
4.328,0.5,0.5641,0.2352,-0.3,OK
4.437,0.5,0.5367,-0.0001,-0.0636,OK
4.547,0.5,0.5122,-0.1169,0.1597,OK
4.64,0.5,0.4607,-0.3182,0.3,OK
4.75,0.5,0.4286,-0.3043,0.3,OK
4.843,0.5,0.4411,-0.1028,0.2761,OK
4.953,0.5,0.4425,-0.0412,0.1966,OK
5.062,0.5,0.436,-0.0508,0.2817,OK
5.172,0.5,0.4769,0.1706,-0.2411,OK
5.281,0.5,0.5018,0.2009,-0.2752,OK
5.39,0.5,0.5006,0.0905,-0.0893,OK
5.5,0.5,0.5215,0.1429,-0.3,OK
5.609,0.5,0.4804,-0.1279,0.3,OK
5.718,0.5,0.4804,-0.1279,0.2378,OK
5.812,0.5,0.5007,0.0532,-0.1517,OK
5.906,0.5,0.5013,0.0334,-0.0264,OK
6.015,0.5,0.5162,0.0879,-0.2145,OK
6.125,0.5,0.4932,-0.0698,0.1819,OK
6.234,0.5,0.4632,-0.177,0.3,OK
6.343,0.5,0.4686,-0.0588,0.1459,OK
6.453,0.5,0.4734,-0.0051,0.0871,OK
6.547,0.5,0.4882,0.0697,-0.0858,OK
6.656,0.5,0.492,0.0512,-0.0255,OK
6.765,0.5,0.5038,0.0814,-0.1407,OK
6.875,0.5,0.5143,0.0884,-0.1713,OK
6.984,0.5,0.4907,-0.0702,0.1911,OK
7.078,0.5,0.4853,-0.0642,0.1214,OK
7.172,0.5,0.4853,-0.0642,0.1647,OK
7.265,0.5,0.4874,-0.0065,0.0385,OK
7.375,0.5,0.491,0.0129,0.0283,OK
7.484,0.5,0.4875,-0.0106,0.0887,OK
7.593,0.5,0.4974,0.0429,-0.0552,OK
7.687,0.5,0.4885,-0.021,0.1346,OK
7.781,0.5,0.49,-0.0038,0.0527,OK
7.89,0.5,0.5228,0.1585,-0.3,OK
8.0,0.5,0.5381,0.1481,-0.2992,OK
8.109,0.5,0.5075,-0.0748,0.1751,OK
8.218,0.5,0.5075,-0.0748,0.0816,OK
8.328,0.5,0.5144,0.0133,-0.0803,OK
8.422,0.5,0.5126,-0.0003,-0.0117,OK
8.515,0.5,0.4892,-0.1172,0.2761,OK
8.609,0.5,0.4724,-0.1463,0.3,OK
8.718,0.5,0.4879,0.0077,0.0184,OK
8.828,0.5,0.4856,-0.0076,0.1298,OK
8.937,0.5,0.4783,-0.0385,0.1894,OK
9.047,0.5,0.4713,-0.0513,0.2333,OK
9.14,0.5,0.4876,0.0522,-0.0217,OK
9.234,0.5,0.4991,0.0849,-0.0657,OK
9.343,0.5,0.5081,0.0838,-0.0936,OK
9.453,0.5,0.5338,0.1625,-0.3,OK
9.562,0.5,0.5632,0.218,-0.3,OK
9.656,0.5,0.5535,0.0703,-0.1994,OK
9.75,0.5,0.53,-0.0803,0.1211,OK
9.843,0.5,0.53,-0.0803,0.0587,OK
9.953,0.5,0.527,-0.0278,-0.0211,OK
10.062,0.5,0.5117,-0.0822,0.1437,OK
10.172,0.5,0.4969,-0.1098,0.2095,OK
10.265,0.5,0.4945,-0.0712,0.1423,OK
10.359,0.5,0.4773,-0.124,0.3,OK
