t,setpoint,depth,depth_rate,u,status
0.0,0.8,0.6089,-0.1115,0.0,STALE
0.11,0.8,0.5331,-0.1162,0.3,OK
0.203,0.8,0.553,0.0227,0.3,OK
0.313,0.8,0.5298,-0.1115,0.3,OK
0.407,0.8,0.5368,-0.0228,0.3,OK
0.516,0.8,0.5193,-0.0954,0.3,OK
0.61,0.8,0.5463,0.081,0.3,OK
0.703,0.8,0.5463,0.081,0.3,OK
0.813,0.8,0.5989,0.2234,0.3,OK
0.907,0.8,0.6076,0.1679,0.3,OK
1.016,0.8,0.6747,0.4048,-0.0222,OK
1.11,0.8,0.7079,0.3803,-0.0927,OK
1.219,0.8,0.7564,0.4147,-0.2703,OK
1.313,0.8,0.8097,0.4853,-0.3,OK
1.407,0.8,0.8607,0.5124,-0.3,OK
1.516,0.8,0.8607,0.5124,-0.3,OK
1.61,0.8,0.863,0.1099,-0.2884,OK
1.719,0.8,0.8286,-0.0958,0.0189,OK
1.813,0.8,0.8293,-0.0482,-0.0321,OK
1.922,0.8,0.8062,-0.136,0.1247,OK
2.016,0.8,0.7989,-0.109,0.1198,OK
2.125,0.8,0.7751,-0.1667,0.2501,OK
2.219,0.8,0.7751,-0.1667,0.2512,OK
2.313,0.8,0.7735,-0.0462,0.1367,OK
2.422,0.8,0.7552,-0.1056,0.2535,OK
2.516,0.8,0.7742,0.0356,0.0566,OK
2.625,0.8,0.8058,0.1713,-0.1742,OK
2.719,0.8,0.7808,-0.0319,0.1049,OK
2.828,0.8,0.7989,0.0731,-0.0543,OK
2.922,0.8,0.8255,0.1702,-0.2325,OK
3.016,0.8,0.8356,0.1405,-0.2347,OK
3.125,0.8,0.8589,0.1795,-0.3,OK
3.219,0.8,0.8589,0.1795,-0.3,OK
3.328,0.8,0.8214,-0.1096,0.0567,OK
3.422,0.8,0.8,-0.1599,0.1715,OK
3.532,0.8,0.7762,-0.1899,0.2741,OK
3.625,0.8,0.7386,-0.2888,0.3,OK
3.735,0.8,0.7189,-0.2302,0.3,OK
3.828,0.8,0.7136,-0.1508,0.3,OK
3.922,0.8,0.7248,-0.024,0.2658,OK
4.032,0.8,0.7392,0.0592,0.1427,OK
4.125,0.8,0.7569,0.1189,0.032,OK
4.235,0.8,0.8196,0.3594,-0.3,OK
4.328,0.8,0.831,0.2509,-0.3,OK
4.438,0.8,0.831,0.2509,-0.3,OK
4.532,0.8,0.8453,0.1055,-0.2219,OK
4.641,0.8,0.8119,-0.0936,0.0766,OK
4.735,0.8,0.7948,-0.1341,0.1687,OK
4.844,0.8,0.8078,0.0013,-0.0062,OK
4.938,0.8,0.7985,-0.0456,0.0688,OK
5.032,0.8,0.7728,-0.1526,0.2543,OK
5.141,0.8,0.7728,-0.1526,0.2558,OK
5.235,0.8,0.795,0.0577,-0.021,OK
5.344,0.8,0.7997,0.0508,-0.0283,OK
5.438,0.8,0.7915,-0.0125,0.06,OK
5.547,0.8,0.8139,0.1035,-0.1238,OK
5.641,0.8,0.7845,-0.0895,0.1579,OK
5.75,0.8,0.8126,0.0941,-0.1104,OK
5.844,0.8,0.8126,0.0941,-0.111,OK
5.938,0.8,0.8229,0.0641,-0.1129,OK
6.047,0.8,0.8374,0.0981,-0.1927,OK
6.141,0.8,0.8127,-0.0678,0.0466,OK
6.25,0.8,0.7767,-0.2081,0.2963,OK
6.344,0.8,0.7735,-0.1271,0.2261,OK
