t,setpoint,depth,depth_rate,u,status
0.0,0.5,0.3161,-0.1109,0.0,STALE
0.11,0.5,0.2812,-0.0393,0.3,OK
0.203,0.5,0.2812,-0.0393,0.3,OK
0.313,0.5,0.233,-0.1999,0.3,OK
0.407,0.5,0.2367,-0.0938,0.3,OK
0.5,0.5,0.2153,-0.1581,0.3,OK
0.61,0.5,0.2381,0.0393,0.3,OK
0.703,0.5,0.2711,0.1839,0.3,OK
0.813,0.5,0.2865,0.1605,0.3,OK
0.907,0.5,0.3569,0.4324,0.0038,OK
1.016,0.5,0.3941,0.3844,-0.0542,OK
1.11,0.5,0.3941,0.3844,-0.0492,OK
1.219,0.5,0.4516,0.3039,-0.1385,OK
1.313,0.5,0.4905,0.3505,-0.3,OK
1.407,0.5,0.5375,0.4207,-0.3,OK
1.516,0.5,0.5455,0.2341,-0.3,OK
1.61,0.5,0.5241,0.0196,-0.0724,OK
1.719,0.5,0.5241,0.0196,-0.0737,OK
1.813,0.5,0.5296,0.026,-0.0981,OK
1.922,0.5,0.5083,-0.0814,0.0728,OK
2.016,0.5,0.504,-0.0648,0.0688,OK
2.125,0.5,0.4811,-0.1424,0.2162,OK
2.219,0.5,0.4742,-0.1103,0.2059,OK
2.313,0.5,0.4489,-0.185,0.3,OK
2.422,0.5,0.4606,-0.03,0.1688,OK
2.516,0.5,0.4851,0.1045,-0.0386,OK
2.625,0.5,0.4573,-0.0858,0.2375,OK
2.719,0.5,0.4769,0.0504,0.0436,OK
2.828,0.5,0.4769,0.0504,0.0449,OK
2.922,0.5,0.5213,0.1854,-0.2244,OK
3.032,0.5,0.5392,0.1743,-0.2691,OK
3.125,0.5,0.5709,0.2502,-0.3,OK
3.219,0.5,0.5584,0.0686,-0.224,OK
3.328,0.5,0.5461,-0.0282,-0.0927,OK
3.422,0.5,0.5292,-0.0983,0.0266,OK
3.532,0.5,0.489,-0.2407,0.2903,OK
3.625,0.5,0.489,-0.2407,0.2908,OK
3.735,0.5,0.4613,-0.158,0.2934,OK
3.828,0.5,0.4566,-0.1129,0.2643,OK
3.922,0.5,0.466,-0.0133,0.1382,OK
4.032,0.5,0.4768,0.0468,0.0471,OK
4.125,0.5,0.4886,0.0839,-0.025,OK
4.235,0.5,0.5417,0.2962,-0.3,OK
4.328,0.5,0.5432,0.1684,-0.2754,OK
4.438,0.5,0.5432,0.1684,-0.2778,OK
4.532,0.5,0.5453,0.0409,-0.1584,OK
4.641,0.5,0.5049,-0.158,0.1613,OK
4.735,0.5,0.4818,-0.1983,0.2717,OK
4.828,0.5,0.4912,-0.0574,0.1029,OK
4.938,0.5,0.483,-0.0669,0.1381,OK
5.032,0.5,0.463,-0.1345,0.2675,OK
5.141,0.5,0.487,0.0534,0.0082,OK
5.235,0.5,0.4977,0.0812,-0.0516,OK
5.344,0.5,0.4977,0.0812,-0.0515,OK
5.438,0.5,0.4896,-0.016,0.0707,OK
5.547,0.5,0.5132,0.0965,-0.1135,OK
5.641,0.5,0.4829,-0.0959,0.1706,OK
5.735,0.5,0.5078,0.0752,-0.0756,OK
5.844,0.5,0.516,0.0752,-0.101,OK
5.938,0.5,0.5319,0.1186,-0.1936,OK
6.047,0.5,0.5093,-0.0537,0.0459,OK
6.141,0.5,0.4776,-0.1851,0.2736,OK
6.25,0.5,0.4796,-0.0775,0.1611,OK
6.344,0.5,0.4796,-0.0775,0.1621,OK
6.453,0.5,0.4828,-0.0032,0.0791,OK
6.547,0.5,0.4952,0.0541,-0.0153,OK
6.641,0.5,0.4964,0.0345,0.001,OK
6.75,0.5,0.5073,0.0699,-0.0676,OK
6.844,0.5,0.519,0.0953,-0.1291,OK
6.953,0.5,0.5001,-0.0471,0.0701,OK
7.047,0.5,0.5001,-0.0471,0.0701,OK
7.157,0.5,0.4991,-0.0134,0.0395,OK
7.25,0.5,0.5051,0.0192,-0.0114,OK
7.344,0.5,0.507,0.0195,-0.0176,OK
7.453,0.5,0.4985,-0.0328,0.0603,OK
7.547,0.5,0.5015,-0.0027,0.021,OK
7.657,0.5,0.5015,-0.0027,0.021,OK
7.75,0.5,0.4806,-0.083,0.1649,OK
7.86,0.5,0.4773,-0.0571,0.1501,OK
7.953,0.5,0.5048,0.1033,-0.0929,OK
8.063,0.5,0.522,0.1321,-0.1746,OK
8.157,0.5,0.5031,-0.0227,0.0368,OK
8.25,0.5,0.521,0.0774,-0.1179,OK
8.36,0.5,0.5298,0.0791,-0.1478,OK
8.453,0.5,0.5119,-0.0456,0.0301,OK
8.563,0.5,0.4984,-0.0868,0.1119,OK
8.657,0.5,0.5103,0.0121,-0.0232,OK
8.766,0.5,0.498,-0.0539,0.0797,OK
8.86,0.5,0.498,-0.0539,0.0798,OK
8.953,0.5,0.4707,-0.1182,0.2278,OK
9.063,0.5,0.452,-0.1522,0.3,OK
9.157,0.5,0.4567,-0.058,0.2116,OK
